"basal","tgfb","pvalue","Metadata_Plate","featureName","effectSize","direction","basalMean","tgfbMean","basalN","tgfbN","qvalue"
"nontargeting control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Area",0.82572282384477,"inc",-1.18161597831572,-0.268424609475722,5,5,0.0140422441506033
"nontargeting control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Compactness",0.82572282384477,"inc",-1.18161597831572,-0.268424609475722,5,5,0.0140422441506033
"nontargeting control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Extent",0.82572282384477,"dec",1.18161597831572,0.135506199469456,5,5,0.0140422441506033
"nontargeting control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Solidity",0.82572282384477,"dec",1.18161597831572,0.268424609475722,5,5,0.0140422441506033
"nontargeting control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Zernike_2_2",0.82572282384477,"dec",1.18161597831572,-0.0884045054033672,5,5,0.0140422441506033
"nontargeting control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Zernike_3_1",0.82572282384477,"inc",0.0541125297334882,1.18161597831572,5,5,0.0140422441506033
"nontargeting control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Zernike_3_3",0.82572282384477,"dec",1.18161597831572,0.215735656714935,5,5,0.0140422441506033
"nontargeting control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Zernike_4_2",0.82572282384477,"dec",0.710290209307239,-0.670199567564127,5,5,0.0140422441506033
"nontargeting control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Zernike_5_5",0.82572282384477,"dec",1.18161597831572,0.159035337518256,5,5,0.0140422441506033
"nontargeting control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Zernike_6_4",0.82572282384477,"dec",0.215735656714935,-0.726899886760805,5,5,0.0140422441506033
"nontargeting control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Zernike_6_6",0.82572282384477,"dec",1.18161597831572,-0.110812848930167,5,5,0.0140422441506033
"nontargeting control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Zernike_7_1",0.82572282384477,"inc",-1.18161597831572,0.38971527308896,5,5,0.0140422441506033
"nontargeting control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Zernike_7_5",0.82572282384477,"dec",1.18161597831572,-0.0965975297295264,5,5,0.0140422441506033
"nontargeting control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Zernike_8_4",0.82572282384477,"inc",-1.18161597831572,-0.21619075445174,5,5,0.0140422441506033
"nontargeting control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Zernike_9_1",0.82572282384477,"inc",-1.06663944766355,0.768566420762724,5,5,0.0140422441506033
"nontargeting control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Zernike_9_9",0.82572282384477,"dec",1.18161597831572,0.215735656714935,5,5,0.0140422441506033
"nontargeting control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_Correlation_Correlation_AGP_BODIPYRNA",0.82572282384477,"dec",0.268424609475722,-1.18161597831572,5,5,0.0140422441506033
"nontargeting control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_Correlation_Correlation_AGP_DNA",0.82572282384477,"dec",0.268424609475722,-1.18161597831572,5,5,0.0140422441506033
"nontargeting control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_Correlation_Correlation_AGP_Mito",0.82572282384477,"dec",0.268424609475722,-1.18161597831572,5,5,0.0140422441506033
"nontargeting control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_Correlation_Correlation_BODIPYRNA_DNA",0.82572282384477,"dec",0.268424609475722,-1.07164453785448,5,5,0.0140422441506033
"nontargeting control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_Correlation_Correlation_BODIPYRNA_Mito",0.82572282384477,"dec",-0.268424609475722,-1.18161597831572,5,5,0.0140422441506033
"nontargeting control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_Correlation_K_AGP_Mito",0.82572282384477,"inc",-1.04248472314249,0.667756483863542,5,5,0.0140422441506033
"nontargeting control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_Correlation_K_BODIPYRNA_DNA",0.82572282384477,"dec",0.921864269688929,-0.57978910002871,5,5,0.0140422441506033
