"basal","tgfb","pvalue","Metadata_Plate","features","effectSize","direction","basalMean","tgfbMean","basalN","tgfbN","qvalue","feature_measure","feature_channel","color","cell"
"nontargeting
control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Area",0.82572282384477,"inc",-1.18161597831572,-0.268424609475722,5,5,0.0140422441506033,"Location/Shape/Count","Compartment","#A2A79F","CFB
 qvalue ≤ 0.2"
"nontargeting
control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Compactness",0.82572282384477,"inc",-1.18161597831572,-0.268424609475722,5,5,0.0140422441506033,"Location/Shape/Count","Compartment","#A2A79F","CFB
 qvalue ≤ 0.2"
"nontargeting
control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Extent",0.82572282384477,"dec",1.18161597831572,0.135506199469456,5,5,0.0140422441506033,"Location/Shape/Count","Compartment","#A2A79F","CFB
 qvalue ≤ 0.2"
"nontargeting
control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Solidity",0.82572282384477,"dec",1.18161597831572,0.268424609475722,5,5,0.0140422441506033,"Location/Shape/Count","Compartment","#A2A79F","CFB
 qvalue ≤ 0.2"
"nontargeting
control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Zernike_2_2",0.82572282384477,"dec",1.18161597831572,-0.0884045054033672,5,5,0.0140422441506033,"Location/Shape/Count","Compartment","#A2A79F","CFB
 qvalue ≤ 0.2"
"nontargeting
control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Zernike_3_1",0.82572282384477,"inc",0.0541125297334882,1.18161597831572,5,5,0.0140422441506033,"Location/Shape/Count","Compartment","#A2A79F","CFB
 qvalue ≤ 0.2"
"nontargeting
control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Zernike_3_3",0.82572282384477,"dec",1.18161597831572,0.215735656714935,5,5,0.0140422441506033,"Location/Shape/Count","Compartment","#A2A79F","CFB
 qvalue ≤ 0.2"
"nontargeting
control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Zernike_4_2",0.82572282384477,"dec",0.710290209307239,-0.670199567564127,5,5,0.0140422441506033,"Location/Shape/Count","Compartment","#A2A79F","CFB
 qvalue ≤ 0.2"
"nontargeting
control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Zernike_5_5",0.82572282384477,"dec",1.18161597831572,0.159035337518256,5,5,0.0140422441506033,"Location/Shape/Count","Compartment","#A2A79F","CFB
 qvalue ≤ 0.2"
"nontargeting
control","nontargeting control",0.00793650793650794,"2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14","Cells_AreaShape_Zernike_6_4",0.82572282384477,"dec",0.215735656714935,-0.726899886760805,5,5,0.0140422441506033,"Location/Shape/Count","Compartment","#A2A79F","CFB
 qvalue ≤ 0.2"
